Tipo,x,y
dengue,-78.33,-5.73
dengue,-78.39,-5.74
dengue,-78.41,-5.71
dengue,-78.25,-5.74
dengue,-78.31,-5.74
dengue,-78.39,-5.72
dengue,-78.38,-5.67
dengue,-78.37,-5.65
dengue,-78.17,-5.77
dengue,-78.61,-6.02
dengue,-78.65,-5.95
dengue,-78.65,-5.95
dengue,-78.63,-5.98
dengue,-78.66,-5.94
dengue,-78.60,-5.93
dengue,-78.61,-5.89
dengue,-78.62,-5.86
dengue,-78.69,-5.76
dengue,-78.66,-5.75
dengue,-78.62,-5.72
dengue,-78.68,-5.70
dengue,-78.56,-5.64
dengue,-78.61,-5.64
dengue,-78.57,-5.60
dengue,-78.58,-5.76
dengue,-78.57,-5.64
dengue,-78.59,-5.68
dengue,-78.17,-6.01
dengue,-78.29,-5.94
dengue,-78.19,-5.93
dengue,-78.28,-5.93
dengue,-78.24,-5.89
dengue,-78.23,-5.88
dengue,-78.16,-5.90
dengue,-78.28,-5.82
dengue,-78.29,-5.82
dengue,-78.49,-6.08
dengue,-78.38,-6.15
dengue,-78.42,-6.10
dengue,-78.41,-6.04
dengue,-78.54,-6.00
dengue,-78.60,-6.07
dengue,-78.49,-6.01
dengue,-78.50,-6.01
dengue,-78.45,-5.98
dengue,-78.21,-9.43
dengue,-78.23,-9.45
dengue,-78.22,-9.44
dengue,-78.19,-9.41
dengue,-78.19,-9.42
dengue,-78.15,-9.36
dengue,-78.26,-9.64
dengue,-78.29,-9.72
dengue,-78.31,-9.48
dengue,-78.26,-9.47
dengue,-78.26,-9.50
dengue,-78.16,-9.56
dengue,-78.24,-9.54
dengue,-78.28,-9.49
dengue,-78.24,-9.50
dengue,-78.33,-9.46
dengue,-78.34,-9.45
dengue,-78.22,-9.53
dengue,-78.35,-9.45
dengue,-78.35,-9.47
dengue,-78.38,-9.46
dengue,-78.34,-9.46
dengue,-78.35,-9.45
dengue,-78.34,-9.47
dengue,-78.35,-9.45
dengue,-78.05,-9.52
dengue,-78.05,-9.52
dengue,-78.00,-9.52
dengue,-78.00,-9.51
dengue,-78.04,-9.53
dengue,-78.00,-9.51
dengue,-77.98,-9.51
dengue,-78.06,-9.52
dengue,-77.53,-9.53
dengue,-78.15,-10.07
dengue,-78.01,-8.39
dengue,-78.59,-9.07
dengue,-78.56,-9.00
dengue,-78.58,-8.95
dengue,-78.57,-9.07
dengue,-78.58,-9.06
dengue,-78.60,-9.07
dengue,-78.57,-9.07
dengue,-78.58,-9.06
dengue,-78.57,-9.08
dengue,-78.58,-9.07
dengue,-78.58,-9.05
dengue,-78.59,-9.07
dengue,-78.57,-9.08
dengue,-78.59,-9.07
dengue,-78.58,-9.07
dengue,-78.60,-9.07
dengue,-78.36,-8.89
dengue,-78.57,-9.09
dengue,-78.57,-9.07
dengue,-78.55,-8.99
dengue,-78.59,-9.06
dengue,-78.58,-9.08
dengue,-78.58,-9.08
dengue,-78.58,-9.06
dengue,-78.57,-9.10
dengue,-78.57,-9.05
dengue,-78.58,-9.06
dengue,-78.58,-9.05
dengue,-78.58,-9.05
dengue,-78.57,-9.09
dengue,-78.58,-9.07
dengue,-78.60,-9.07
dengue,-78.51,-8.96
dengue,-78.59,-9.05
dengue,-78.55,-8.99
dengue,-78.50,-8.97
dengue,-78.58,-9.06
dengue,-78.53,-8.96
dengue,-78.54,-9.00
dengue,-78.53,-8.91
dengue,-78.58,-9.07
dengue,-78.54,-8.88
dengue,-78.53,-8.91
dengue,-78.58,-9.06
dengue,-78.48,-8.96
dengue,-78.60,-9.07
dengue,-78.57,-9.08
dengue,-78.59,-9.05
dengue,-78.57,-9.07
dengue,-78.58,-9.07
dengue,-78.57,-9.06
dengue,-78.59,-9.05
dengue,-78.57,-9.08
dengue,-78.58,-9.05
dengue,-78.56,-9.07
dengue,-78.56,-9.10
dengue,-78.52,-8.98
dengue,-78.57,-9.10
dengue,-78.59,-9.08
dengue,-78.62,-9.02
dengue,-78.28,-9.15
dengue,-78.36,-9.17
dengue,-78.53,-9.12
dengue,-78.42,-9.26
dengue,-78.61,-8.99
dengue,-78.62,-9.00
dengue,-78.62,-8.99
dengue,-78.61,-8.99
dengue,-78.62,-8.99
dengue,-71.54,-16.40
dengue,-74.53,-15.66
dengue,-74.14,-13.63
dengue,-74.22,-13.15
dengue,-74.20,-13.18
dengue,-74.22,-13.17
dengue,-74.01,-12.33
dengue,-73.98,-12.31
dengue,-73.98,-12.31
dengue,-74.02,-12.28
dengue,-74.09,-12.28
dengue,-74.02,-12.28
dengue,-74.05,-12.34
dengue,-74.03,-12.37
dengue,-74.08,-12.28
dengue,-74.06,-12.32
dengue,-74.01,-12.32
dengue,-73.99,-12.45
dengue,-73.97,-12.45
dengue,-74.08,-12.48
dengue,-73.95,-12.45
dengue,-73.97,-12.42
dengue,-73.92,-12.40
dengue,-73.98,-12.43
dengue,-74.01,-12.43
dengue,-74.01,-12.40
dengue,-73.94,-12.41
dengue,-73.99,-12.40
dengue,-73.92,-12.42
dengue,-73.98,-12.42
dengue,-74.07,-12.42
dengue,-74.01,-12.39
dengue,-73.96,-12.36
dengue,-73.90,-12.45
dengue,-73.91,-12.41
dengue,-73.91,-12.40
dengue,-73.90,-12.44
dengue,-73.91,-12.41
dengue,-73.89,-12.43
dengue,-73.91,-12.41
dengue,-73.94,-12.54
dengue,-73.92,-12.53
dengue,-73.95,-12.49
dengue,-73.90,-12.57
dengue,-73.89,-12.45
dengue,-73.88,-12.53
dengue,-73.87,-12.55
dengue,-73.92,-12.49
dengue,-73.85,-12.60
dengue,-73.87,-12.59
dengue,-73.88,-12.58
dengue,-73.86,-12.56
dengue,-73.88,-12.46
dengue,-73.88,-12.55
dengue,-73.91,-12.54
dengue,-73.83,-12.54
dengue,-73.89,-12.54
dengue,-73.87,-12.50
dengue,-73.89,-12.52
dengue,-73.86,-12.51
dengue,-73.90,-12.50
dengue,-73.86,-12.49
dengue,-73.85,-12.55
dengue,-73.87,-12.51
dengue,-73.62,-12.89
dengue,-73.62,-12.90
dengue,-73.58,-12.86
dengue,-73.55,-12.88
dengue,-73.62,-12.88
dengue,-73.58,-12.87
dengue,-73.58,-12.90
dengue,-73.57,-12.87
dengue,-73.53,-13.00
dengue,-73.53,-12.99
dengue,-73.55,-12.94
dengue,-73.53,-12.94
dengue,-73.53,-12.93
dengue,-73.51,-13.01
dengue,-73.48,-13.02
dengue,-73.88,-12.72
dengue,-73.82,-12.68
dengue,-73.85,-12.66
dengue,-73.86,-12.66
dengue,-73.87,-12.68
dengue,-73.91,-12.72
dengue,-73.83,-12.57
dengue,-73.85,-12.62
dengue,-73.82,-12.65
dengue,-73.79,-12.64
dengue,-73.83,-12.65
dengue,-73.77,-12.65
dengue,-73.79,-12.62
dengue,-73.83,-12.62
dengue,-73.83,-12.60
dengue,-73.79,-12.62
dengue,-73.69,-12.76
dengue,-73.66,-12.76
dengue,-73.61,-12.82
dengue,-73.62,-12.82
dengue,-73.67,-12.78
dengue,-73.64,-12.79
dengue,-73.65,-12.84
dengue,-73.64,-12.77
dengue,-73.70,-12.75
dengue,-73.67,-12.73
dengue,-73.64,-12.75
dengue,-73.63,-12.85
dengue,-73.66,-12.77
dengue,-73.68,-12.87
dengue,-73.66,-12.75
dengue,-73.70,-12.69
dengue,-73.77,-12.69
dengue,-73.67,-12.72
dengue,-73.77,-12.72
dengue,-73.79,-12.67
dengue,-73.71,-12.75
dengue,-73.75,-12.72
dengue,-73.69,-12.72
dengue,-73.71,-12.72
dengue,-73.78,-12.71
dengue,-73.68,-12.70
dengue,-73.74,-12.70
dengue,-73.72,-12.70
dengue,-73.75,-12.70
dengue,-73.78,-12.70
dengue,-73.76,-12.70
dengue,-73.74,-12.69
dengue,-73.71,-12.68
dengue,-73.72,-12.66
dengue,-73.81,-12.72
dengue,-73.76,-12.70
dengue,-73.74,-12.73
dengue,-73.72,-12.72
dengue,-78.76,-7.22
dengue,-78.84,-7.22
dengue,-78.93,-7.21
dengue,-79.10,-7.26
dengue,-79.13,-7.25
dengue,-79.11,-7.25
dengue,-78.93,-6.09
dengue,-78.91,-6.18
dengue,-78.90,-6.05
dengue,-79.01,-6.09
dengue,-78.86,-6.17
dengue,-78.91,-6.10
dengue,-78.86,-6.01
dengue,-78.74,-5.95
dengue,-78.69,-5.90
dengue,-78.70,-5.90
dengue,-78.72,-5.83
dengue,-78.68,-5.67
dengue,-78.68,-5.67
dengue,-78.65,-5.66
dengue,-78.70,-5.65
dengue,-78.65,-5.65
dengue,-78.75,-5.65
dengue,-78.78,-5.59
dengue,-78.80,-5.57
dengue,-78.89,-5.55
dengue,-78.81,-5.55
dengue,-78.90,-5.55
dengue,-78.82,-5.54
dengue,-78.83,-5.45
dengue,-78.82,-5.57
dengue,-78.84,-5.56
dengue,-78.80,-5.54
dengue,-78.63,-5.51
dengue,-78.63,-5.62
dengue,-78.63,-5.61
dengue,-78.79,-5.53
dengue,-78.83,-5.46
dengue,-79.04,-5.70
dengue,-79.09,-5.65
dengue,-79.07,-5.98
dengue,-79.05,-5.89
dengue,-79.00,-5.85
dengue,-78.94,-5.89
dengue,-79.02,-5.91
dengue,-78.86,-6.01
dengue,-78.93,-6.00
dengue,-78.90,-5.61
dengue,-78.91,-5.58
dengue,-78.75,-5.84
dengue,-78.75,-5.83
dengue,-78.91,-5.86
dengue,-78.78,-5.77
dengue,-78.74,-5.80
dengue,-78.83,-5.80
dengue,-78.93,-5.78
dengue,-78.79,-5.75
dengue,-78.82,-5.75
dengue,-78.79,-5.74
dengue,-78.79,-5.74
dengue,-78.83,-5.69
dengue,-78.84,-5.73
dengue,-78.88,-5.72
dengue,-78.82,-5.71
dengue,-78.78,-5.71
dengue,-78.78,-5.71
dengue,-78.86,-5.71
dengue,-78.87,-5.70
dengue,-78.81,-5.68
dengue,-78.80,-5.65
dengue,-78.81,-5.72
dengue,-78.87,-5.71
dengue,-78.80,-5.69
dengue,-78.79,-5.87
dengue,-78.86,-5.85
dengue,-78.79,-5.69
dengue,-78.86,-5.82
dengue,-78.74,-5.82
dengue,-78.84,-5.81
dengue,-78.78,-5.79
dengue,-78.87,-5.78
dengue,-78.86,-5.75
dengue,-78.87,-5.74
dengue,-78.86,-5.73
dengue,-78.80,-5.72
dengue,-78.83,-5.76
dengue,-78.91,-5.71
dengue,-78.80,-5.72
dengue,-78.81,-5.71
dengue,-78.81,-5.71
dengue,-78.80,-5.71
dengue,-78.82,-5.71
dengue,-78.79,-5.71
dengue,-78.81,-5.70
dengue,-78.84,-5.70
dengue,-78.89,-5.69
dengue,-78.78,-5.68
dengue,-78.83,-5.76
dengue,-78.80,-5.69
dengue,-78.81,-5.70
dengue,-78.82,-5.71
dengue,-78.77,-5.85
dengue,-78.84,-5.92
dengue,-78.85,-5.81
dengue,-78.82,-5.81
dengue,-78.85,-5.73
dengue,-78.79,-5.73
dengue,-78.78,-5.72
dengue,-78.80,-5.72
dengue,-78.79,-5.70
dengue,-78.88,-5.70
dengue,-78.83,-5.70
dengue,-78.85,-5.69
dengue,-78.87,-5.75
dengue,-78.77,-5.66
dengue,-78.81,-5.65
dengue,-78.76,-5.65
dengue,-78.80,-5.76
dengue,-78.91,-5.67
dengue,-78.85,-5.63
dengue,-79.23,-5.93
dengue,-79.20,-5.98
dengue,-79.05,-5.73
dengue,-79.12,-6.05
dengue,-79.04,-6.04
dengue,-79.12,-6.04
dengue,-79.13,-6.03
dengue,-79.09,-6.02
dengue,-79.13,-6.04
dengue,-79.14,-6.04
dengue,-79.13,-6.04
dengue,-79.06,-6.05
dengue,-79.12,-6.06
dengue,-79.13,-6.04
dengue,-79.03,-6.04
dengue,-79.09,-5.50
dengue,-79.14,-5.47
dengue,-79.11,-5.42
dengue,-79.10,-5.48
dengue,-78.98,-5.52
dengue,-78.97,-5.47
dengue,-78.96,-5.47
dengue,-78.99,-5.47
dengue,-78.69,-5.45
dengue,-78.59,-5.44
dengue,-78.62,-5.43
dengue,-78.57,-5.43
dengue,-78.58,-5.45
dengue,-78.52,-5.41
dengue,-78.70,-5.47
dengue,-78.56,-5.44
dengue,-78.77,-5.38
dengue,-78.85,-5.36
dengue,-78.79,-5.42
dengue,-78.79,-5.34
dengue,-78.90,-5.31
dengue,-78.81,-5.29
dengue,-78.83,-5.44
dengue,-78.80,-5.34
dengue,-78.95,-5.24
dengue,-78.90,-5.20
dengue,-78.76,-5.26
dengue,-78.75,-5.27
dengue,-78.77,-5.29
dengue,-78.76,-5.31
dengue,-78.74,-5.31
dengue,-78.70,-5.40
dengue,-78.71,-5.36
dengue,-78.78,-5.27
dengue,-78.81,-5.29
dengue,-78.79,-5.32
dengue,-78.76,-5.26
dengue,-78.80,-5.24
dengue,-78.74,-5.25
dengue,-78.76,-5.24
dengue,-78.78,-5.23
dengue,-78.77,-5.19
dengue,-79.10,-5.09
dengue,-79.09,-5.04
dengue,-79.11,-5.02
dengue,-79.07,-5.01
dengue,-79.08,-5.08
dengue,-79.09,-5.07
dengue,-79.11,-5.04
dengue,-79.09,-5.00
dengue,-79.07,-5.00
dengue,-79.12,-4.98
dengue,-79.13,-4.97
dengue,-79.11,-5.01
dengue,-79.05,-5.15
dengue,-79.07,-5.15
dengue,-79.07,-5.19
dengue,-79.08,-5.12
dengue,-79.07,-5.21
dengue,-78.99,-5.16
dengue,-79.00,-5.15
dengue,-79.03,-5.15
dengue,-79.03,-5.15
dengue,-79.00,-5.14
dengue,-78.99,-5.13
dengue,-78.94,-5.12
dengue,-79.00,-5.12
dengue,-79.02,-5.11
dengue,-79.03,-5.10
dengue,-79.02,-5.12
dengue,-79.03,-5.05
dengue,-79.01,-5.03
dengue,-78.91,-5.18
dengue,-78.95,-5.12
dengue,-78.80,-4.85
dengue,-78.91,-5.09
dengue,-78.88,-5.01
dengue,-78.94,-5.11
dengue,-78.91,-5.10
dengue,-78.91,-5.01
dengue,-78.73,-4.95
dengue,-79.19,-5.30
dengue,-79.28,-5.32
dengue,-79.11,-5.35
dengue,-79.16,-5.29
dengue,-79.20,-5.29
dengue,-79.20,-5.29
dengue,-79.16,-5.40
dengue,-73.03,-12.68
dengue,-73.34,-12.69
dengue,-72.61,-12.79
dengue,-72.59,-12.79
dengue,-72.56,-12.74
dengue,-72.61,-12.77
dengue,-72.51,-12.68
dengue,-72.58,-12.77
dengue,-72.87,-12.33
dengue,-73.06,-12.65
dengue,-72.84,-12.62
dengue,-73.05,-12.65
dengue,-73.20,-12.64
dengue,-72.97,-12.46
dengue,-73.16,-12.60
dengue,-73.03,-12.63
dengue,-72.70,-12.62
dengue,-72.76,-12.59
dengue,-72.77,-12.66
dengue,-72.58,-12.76
dengue,-72.53,-12.73
dengue,-72.58,-12.76
dengue,-72.56,-12.73
dengue,-72.55,-12.73
dengue,-72.50,-12.74
dengue,-72.57,-12.74
dengue,-72.91,-12.64
dengue,-73.02,-12.64
dengue,-72.98,-12.63
dengue,-72.89,-12.36
dengue,-72.86,-12.30
dengue,-73.17,-12.61
dengue,-73.13,-12.61
dengue,-73.22,-12.64
dengue,-72.98,-12.63
dengue,-72.95,-12.61
dengue,-73.11,-12.54
dengue,-73.03,-12.56
dengue,-72.67,-12.63
dengue,-72.57,-12.65
dengue,-72.69,-12.63
dengue,-72.78,-12.60
dengue,-73.68,-12.67
dengue,-73.57,-12.76
dengue,-73.62,-12.76
dengue,-73.64,-12.75
dengue,-73.65,-12.74
dengue,-73.70,-12.68
dengue,-73.63,-12.71
dengue,-73.64,-12.72
dengue,-73.67,-12.71
dengue,-73.64,-12.70
dengue,-73.58,-12.85
dengue,-73.58,-12.83
dengue,-73.60,-12.81
dengue,-73.66,-12.66
dengue,-73.67,-12.70
dengue,-73.71,-12.62
dengue,-73.79,-12.58
dengue,-73.73,-12.61
dengue,-73.71,-12.61
dengue,-73.78,-12.60
dengue,-73.79,-12.59
dengue,-73.68,-12.66
dengue,-73.76,-12.57
dengue,-73.69,-12.59
dengue,-73.73,-12.57
dengue,-73.77,-12.60
dengue,-73.76,-12.56
dengue,-73.74,-12.63
dengue,-73.79,-12.61
dengue,-73.77,-12.60
dengue,-73.70,-12.64
dengue,-73.79,-12.62
dengue,-73.71,-12.65
dengue,-73.75,-12.61
dengue,-73.78,-12.62
dengue,-72.66,-12.96
dengue,-72.66,-12.94
dengue,-72.66,-12.92
dengue,-72.68,-12.90
dengue,-72.63,-13.01
dengue,-72.69,-12.98
dengue,-72.66,-12.95
dengue,-72.66,-12.93
dengue,-72.66,-12.88
dengue,-72.65,-12.97
dengue,-72.67,-12.98
dengue,-72.64,-12.91
dengue,-73.93,-12.30
dengue,-73.94,-12.25
dengue,-73.94,-12.32
dengue,-73.93,-12.35
dengue,-73.94,-12.26
dengue,-73.96,-12.26
dengue,-73.96,-12.35
dengue,-73.76,-12.55
dengue,-73.85,-12.52
dengue,-73.84,-12.49
dengue,-73.80,-12.47
dengue,-73.80,-12.51
dengue,-73.82,-12.48
dengue,-73.83,-12.52
dengue,-73.81,-12.50
dengue,-73.81,-12.49
dengue,-73.87,-12.24
dengue,-73.79,-12.51
dengue,-73.85,-12.44
dengue,-73.82,-12.52
dengue,-73.90,-12.39
dengue,-73.87,-12.44
dengue,-73.86,-12.41
dengue,-73.84,-12.43
dengue,-73.87,-12.46
dengue,-73.86,-12.46
dengue,-73.82,-12.48
dengue,-73.79,-12.54
dengue,-73.79,-12.48
dengue,-73.84,-12.52
dengue,-73.84,-12.52
dengue,-73.91,-12.38
dengue,-73.81,-12.56
dengue,-73.90,-12.38
dengue,-73.84,-12.48
dengue,-73.88,-12.38
dengue,-73.89,-12.39
dengue,-72.50,-12.42
dengue,-72.49,-12.62
dengue,-72.42,-12.62
dengue,-72.57,-12.64
dengue,-72.50,-12.64
dengue,-72.62,-12.64
dengue,-72.45,-12.62
dengue,-72.29,-12.52
dengue,-72.44,-12.62
dengue,-72.60,-12.65
dengue,-72.41,-12.62
dengue,-72.56,-12.64
dengue,-72.55,-12.63
dengue,-72.53,-12.61
dengue,-72.56,-12.61
dengue,-72.52,-12.63
dengue,-72.38,-12.64
dengue,-72.18,-12.57
dengue,-72.68,-12.83
dengue,-72.66,-12.83
dengue,-72.66,-12.80
dengue,-72.73,-12.83
dengue,-72.72,-12.86
dengue,-72.68,-12.85
dengue,-72.69,-12.89
dengue,-72.70,-12.88
dengue,-72.70,-12.88
dengue,-72.70,-12.85
dengue,-72.64,-12.79
dengue,-72.72,-12.84
dengue,-72.71,-12.84
dengue,-72.69,-12.84
dengue,-72.68,-12.84
dengue,-72.75,-12.90
dengue,-72.69,-12.84
dengue,-72.74,-12.85
dengue,-72.68,-12.91
dengue,-72.73,-12.89
dengue,-72.69,-12.88
dengue,-72.69,-12.88
dengue,-72.70,-12.86
dengue,-72.74,-12.85
dengue,-72.71,-12.85
dengue,-72.69,-12.86
dengue,-72.73,-12.85
dengue,-72.69,-12.86
dengue,-73.51,-12.96
dengue,-73.53,-12.92
dengue,-73.54,-12.88
dengue,-73.54,-12.87
dengue,-73.51,-12.98
dengue,-73.51,-13.00
dengue,-73.50,-13.00
dengue,-71.40,-12.91
dengue,-71.42,-12.97
dengue,-71.39,-12.95
dengue,-70.75,-13.23
dengue,-70.80,-13.28
dengue,-70.75,-13.24
dengue,-70.54,-13.20
dengue,-70.74,-13.18
dengue,-70.61,-13.20
dengue,-70.67,-13.18
dengue,-76.21,-10.11
dengue,-76.47,-9.32
dengue,-76.46,-9.29
dengue,-76.37,-9.29
dengue,-76.44,-9.29
dengue,-76.40,-9.28
dengue,-76.39,-9.28
dengue,-76.40,-9.28
dengue,-76.55,-9.26
dengue,-76.34,-9.26
dengue,-76.55,-9.26
dengue,-76.08,-9.27
dengue,-76.21,-9.22
dengue,-76.33,-9.23
dengue,-76.33,-9.21
dengue,-76.11,-9.23
dengue,-76.09,-9.24
dengue,-76.14,-9.21
dengue,-76.16,-9.21
dengue,-76.22,-9.90
dengue,-76.21,-9.98
dengue,-76.21,-9.94
dengue,-76.24,-9.94
dengue,-75.95,-9.54
dengue,-76.07,-9.80
dengue,-76.20,-9.87
dengue,-76.24,-9.93
dengue,-76.24,-9.99
dengue,-76.25,-9.97
dengue,-76.25,-9.96
dengue,-76.01,-9.28
dengue,-76.03,-9.25
dengue,-76.02,-9.29
dengue,-76.05,-9.22
dengue,-76.05,-9.20
dengue,-76.06,-9.15
dengue,-75.82,-9.38
dengue,-75.81,-9.29
dengue,-75.83,-9.29
dengue,-75.94,-9.20
dengue,-75.91,-9.19
dengue,-75.90,-9.19
dengue,-75.92,-9.17
dengue,-75.95,-9.19
dengue,-75.93,-9.19
dengue,-75.95,-9.18
dengue,-75.96,-9.19
dengue,-76.23,-9.08
dengue,-76.10,-8.90
dengue,-76.06,-8.96
dengue,-76.09,-8.92
dengue,-76.14,-8.82
dengue,-76.12,-8.93
dengue,-76.13,-8.89
dengue,-76.19,-8.84
dengue,-76.11,-9.00
dengue,-75.86,-9.31
dengue,-75.91,-9.28
dengue,-75.98,-9.26
dengue,-75.99,-9.26
dengue,-75.99,-9.25
dengue,-75.99,-9.25
dengue,-75.94,-9.22
dengue,-75.94,-9.24
dengue,-75.97,-9.24
dengue,-75.96,-9.23
dengue,-75.97,-9.21
dengue,-75.99,-9.23
dengue,-76.00,-9.19
dengue,-75.99,-9.18
dengue,-75.99,-9.21
dengue,-75.99,-9.22
dengue,-75.95,-9.50
dengue,-75.96,-9.46
dengue,-75.98,-9.45
dengue,-75.97,-9.44
